,chi_p,gamma_p,x,y,z
0,0.0,-0.7853981633974483,0.0,0.0,0.0
1,0.0,-0.7853981633974483,0.002004008016032064,0.0,0.002004008016032064
2,0.0,-0.7853981633974483,0.004008016032064128,0.0,0.004008016032064128
3,0.0,-0.7853981633974483,0.006012024048096192,0.0,0.0060120240480961915
4,0.0,-0.7853981633974483,0.008016032064128256,0.0,0.008016032064128256
5,0.0,-0.7853981633974483,0.010020040080160322,0.0,0.01002004008016032
6,0.0,-0.7853981633974483,0.012024048096192385,0.0,0.012024048096192383
7,0.0,-0.7853981633974483,0.01402805611222445,0.0,0.014028056112224447
8,0.0,-0.7853981633974483,0.01603206412825651,0.0,0.01603206412825651
9,0.0,-0.7853981633974483,0.018036072144288578,0.0,0.018036072144288574
10,0.0,-0.7853981633974483,0.020040080160320644,0.0,0.02004008016032064
11,0.0,-0.7853981633974483,0.022044088176352707,0.0,0.022044088176352703
12,0.0,-0.7853981633974483,0.02404809619238477,0.0,0.024048096192384766
13,0.0,-0.7853981633974483,0.026052104208416832,0.0,0.02605210420841683
14,0.0,-0.7853981633974483,0.0280561122244489,0.0,0.028056112224448895
15,0.0,-0.7853981633974483,0.030060120240480964,0.0,0.030060120240480957
16,0.0,-0.7853981633974483,0.03206412825651302,0.0,0.03206412825651302
17,0.0,-0.7853981633974483,0.034068136272545096,0.0,0.03406813627254509
18,0.0,-0.7853981633974483,0.036072144288577156,0.0,0.03607214428857715
19,0.0,-0.7853981633974483,0.03807615230460922,0.0,0.038076152304609215
20,0.0,-0.7853981633974483,0.04008016032064129,0.0,0.04008016032064128
21,0.0,-0.7853981633974483,0.04208416833667334,0.0,0.04208416833667334
22,0.0,-0.7853981633974483,0.04408817635270541,0.0,0.044088176352705406
23,0.0,-0.7853981633974483,0.04609218436873748,0.0,0.04609218436873747
24,0.0,-0.7853981633974483,0.04809619238476954,0.0,0.04809619238476953
25,0.0,-0.7853981633974483,0.050100200400801605,0.0,0.0501002004008016
26,0.0,-0.7853981633974483,0.052104208416833664,0.0,0.05210420841683366
27,0.0,-0.7853981633974483,0.05410821643286574,0.0,0.05410821643286573
28,0.0,-0.7853981633974483,0.0561122244488978,0.0,0.05611222444889779
29,0.0,-0.7853981633974483,0.05811623246492986,0.0,0.058116232464929855
30,0.0,-0.7853981633974483,0.06012024048096193,0.0,0.060120240480961915
31,0.0,-0.7853981633974483,0.06212424849699399,0.0,0.06212424849699398
32,0.0,-0.7853981633974483,0.06412825651302605,0.0,0.06412825651302605
33,0.0,-0.7853981633974483,0.06613226452905813,0.0,0.06613226452905811
34,0.0,-0.7853981633974483,0.06813627254509019,0.0,0.06813627254509018
35,0.0,-0.7853981633974483,0.07014028056112226,0.0,0.07014028056112225
36,0.0,-0.7853981633974483,0.07214428857715431,0.0,0.0721442885771543
37,0.0,-0.7853981633974483,0.07414829659318638,0.0,0.07414829659318636
38,0.0,-0.7853981633974483,0.07615230460921844,0.0,0.07615230460921843
39,0.0,-0.7853981633974483,0.07815631262525051,0.0,0.0781563126252505
40,0.0,-0.7853981633974483,0.08016032064128258,0.0,0.08016032064128256
41,0.0,-0.7853981633974483,0.08216432865731464,0.0,0.08216432865731463
42,0.0,-0.7853981633974483,0.08416833667334668,0.0,0.08416833667334668
43,0.0,-0.7853981633974483,0.08617234468937876,0.0,0.08617234468937875
44,0.0,-0.7853981633974483,0.08817635270541083,0.0,0.08817635270541081
45,0.0,-0.7853981633974483,0.09018036072144288,0.0,0.09018036072144286
46,0.0,-0.7853981633974483,0.09218436873747496,0.0,0.09218436873747494
47,0.0,-0.7853981633974483,0.09418837675350702,0.0,0.09418837675350701
48,0.0,-0.7853981633974483,0.09619238476953908,0.0,0.09619238476953906
49,0.0,-0.7853981633974483,0.09819639278557113,0.0,0.09819639278557112
50,0.0,-0.7853981633974483,0.10020040080160321,0.0,0.1002004008016032
51,0.0,-0.7853981633974483,0.10220440881763528,0.0,0.10220440881763526
52,0.0,-0.7853981633974483,0.10420841683366733,0.0,0.10420841683366731
53,0.0,-0.7853981633974483,0.10621242484969941,0.0,0.1062124248496994
54,0.0,-0.7853981633974483,0.10821643286573147,0.0,0.10821643286573146
55,0.0,-0.7853981633974483,0.11022044088176353,0.0,0.11022044088176351
56,0.0,-0.7853981633974483,0.1122244488977956,0.0,0.11222444889779558
57,0.0,-0.7853981633974483,0.11422845691382766,0.0,0.11422845691382763
58,0.0,-0.7853981633974483,0.11623246492985972,0.0,0.11623246492985971
59,0.0,-0.7853981633974483,0.1182364729458918,0.0,0.11823647294589178
60,0.0,-0.7853981633974483,0.12024048096192386,0.0,0.12024048096192383
61,0.0,-0.7853981633974483,0.12224448897795591,0.0,0.12224448897795588
62,0.0,-0.7853981633974483,0.12424849699398798,0.0,0.12424849699398796
63,0.0,-0.7853981633974483,0.12625250501002006,0.0,0.12625250501002003
64,0.0,-0.7853981633974483,0.1282565130260521,0.0,0.1282565130260521
65,0.0,-0.7853981633974483,0.1302605210420842,0.0,0.13026052104208416
66,0.0,-0.7853981633974483,0.13226452905811625,0.0,0.13226452905811623
67,0.0,-0.7853981633974483,0.13426853707414832,0.0,0.1342685370741483
68,0.0,-0.7853981633974483,0.13627254509018039,0.0,0.13627254509018036
69,0.0,-0.7853981633974483,0.13827655310621245,0.0,0.13827655310621242
70,0.0,-0.7853981633974483,0.14028056112224452,0.0,0.1402805611222445
71,0.0,-0.7853981633974483,0.14228456913827656,0.0,0.14228456913827653
72,0.0,-0.7853981633974483,0.14428857715430862,0.0,0.1442885771543086
73,0.0,-0.7853981633974483,0.1462925851703407,0.0,0.14629258517034066
74,0.0,-0.7853981633974483,0.14829659318637275,0.0,0.14829659318637273
75,0.0,-0.7853981633974483,0.15030060120240482,0.0,0.1503006012024048
76,0.0,-0.7853981633974483,0.1523046092184369,0.0,0.15230460921843686
77,0.0,-0.7853981633974483,0.15430861723446895,0.0,0.15430861723446893
78,0.0,-0.7853981633974483,0.15631262525050102,0.0,0.156312625250501
79,0.0,-0.7853981633974483,0.15831663326653306,0.0,0.15831663326653306
80,0.0,-0.7853981633974483,0.16032064128256515,0.0,0.16032064128256512
81,0.0,-0.7853981633974483,0.16232464929859722,0.0,0.1623246492985972
82,0.0,-0.7853981633974483,0.16432865731462928,0.0,0.16432865731462926
83,0.0,-0.7853981633974483,0.16633266533066135,0.0,0.16633266533066132
84,0.0,-0.7853981633974483,0.16833667334669336,0.0,0.16833667334669336
85,0.0,-0.7853981633974483,0.17034068136272545,0.0,0.17034068136272543
86,0.0,-0.7853981633974483,0.17234468937875752,0.0,0.1723446893787575
87,0.0,-0.7853981633974483,0.1743486973947896,0.0,0.17434869739478956
88,0.0,-0.7853981633974483,0.17635270541082165,0.0,0.17635270541082163
89,0.0,-0.7853981633974483,0.17835671342685372,0.0,0.1783567134268537
90,0.0,-0.7853981633974483,0.18036072144288576,0.0,0.18036072144288573
91,0.0,-0.7853981633974483,0.18236472945891785,0.0,0.18236472945891782
92,0.0,-0.7853981633974483,0.18436873747494992,0.0,0.1843687374749499
93,0.0,-0.7853981633974483,0.18637274549098196,0.0,0.18637274549098193
94,0.0,-0.7853981633974483,0.18837675350701405,0.0,0.18837675350701402
95,0.0,-0.7853981633974483,0.19038076152304612,0.0,0.1903807615230461
96,0.0,-0.7853981633974483,0.19238476953907815,0.0,0.19238476953907813
97,0.0,-0.7853981633974483,0.19438877755511022,0.0,0.1943887775551102
98,0.0,-0.7853981633974483,0.19639278557114226,0.0,0.19639278557114223
99,0.0,-0.7853981633974483,0.19839679358717435,0.0,0.19839679358717432
100,0.0,-0.7853981633974483,0.20040080160320642,0.0,0.2004008016032064
101,0.0,-0.7853981633974483,0.20240480961923846,0.0,0.20240480961923843
