,dot_s,psi,t,x,y,z
0,0.8972879878838487,0.7853981633974483,0.0,0.0,0.0,-100.0
1,0.0,0.7853981633974483,0.01,0.0,0.0,-100.0
2,0.0,0.7853981633974483,0.02,0.0,0.0,-100.0
3,0.0,0.7853981633974483,0.03,0.0,0.0,-100.0
4,0.0,0.7853981633974483,0.04,0.0,0.0,-100.0
5,0.0,0.7853981633974483,0.05,0.0,0.0,-100.0
6,0.0,0.7853981633974483,0.06,0.0,0.0,-100.0
7,0.0,0.7853981633974483,0.07,0.0,0.0,-100.0
8,0.0,0.7853981633974483,0.08,0.0,0.0,-100.0
9,0.0,0.7853981633974483,0.09,0.0,0.0,-100.0
10,0.0,0.7853981633974483,0.1,0.0,0.0,-100.0
11,0.0,0.7853981633974483,0.11,0.0,0.0,-100.0
12,0.0,0.7853981633974483,0.12,0.0,0.0,-100.0
13,0.0,0.7853981633974483,0.13,0.0,0.0,-100.0
14,0.0,0.7853981633974483,0.14,0.0,0.0,-100.0
15,0.0,0.7853981633974483,0.15,0.0,0.0,-100.0
16,0.0,0.7853981633974483,0.16,0.0,0.0,-100.0
17,0.0,0.7853981633974483,0.17,0.0,0.0,-100.0
18,0.0,0.7853981633974483,0.18,0.0,0.0,-100.0
19,0.0,0.7853981633974483,0.19,0.0,0.0,-100.0
20,0.0,0.7853981633974483,0.2,0.0,0.0,-100.0
21,0.0,0.7853981633974483,0.21,0.0,0.0,-100.0
22,0.0,0.7853981633974483,0.22,0.0,0.0,-100.0
23,0.0,0.7853981633974483,0.23,0.0,0.0,-100.0
24,0.0,0.7853981633974483,0.24,0.0,0.0,-100.0
25,0.0,0.7853981633974483,0.25,0.0,0.0,-100.0
26,0.0,0.7853981633974483,0.26,0.0,0.0,-100.0
27,0.0,0.7853981633974483,0.27,0.0,0.0,-100.0
28,0.0,0.7853981633974483,0.28,0.0,0.0,-100.0
29,0.0,0.7853981633974483,0.29,0.0,0.0,-100.0
30,0.0,0.7853981633974483,0.3,0.0,0.0,-100.0
31,0.0,0.7853981633974483,0.31,0.0,0.0,-100.0
32,0.0,0.7853981633974483,0.32,0.0,0.0,-100.0
