,dot_p,dot_q,dot_r,dot_u,dot_v,dot_w,p,phi,psi,q,r,t,theta,u,u1,u2,u3,u4,u5,u6,u7,u8,u_max,u_min,v,w,x,y,z
0,0.0,0.0,0.13652055986832912,0.05102900119954538,0.050906753847975904,0.18826868789328632,0.0,0.0,5.460822394733165e-05,0.0,0.0027304111973665826,0.0,0.0,0.0010205800239909077,-1.6,0.28007409542776274,-0.30124549938035117,0.09970163997132608,1.4041995327926728,0.0148754136040114,0.591350678455391,0.09609882723600116,8,-8,0.001018135076959518,0.0037653737578657266,2.0411600479818153e-05,2.0362701539190363e-05,7.530747515731454e-05
1,0.0,0.0,0.2574694523728001,0.09217951000224599,0.09194573281429343,0.19525344889153368,0.0,0.0,0.00021220422884378335,0.0,0.007879800244822585,0.02002002002002002,0.0,0.0028641702240358273,-2.8800000000000003,0.48067233052026914,-0.566755819173286,0.17712722196563413,2.532618736675457,0.0027545911000469436,1.0414541728794893,0.17025404135890954,8,-8,0.0028570497332453867,0.0076704427356964,7.76918845068918e-05,7.7506824263878e-05,0.00022871632987124253
2,0.0,0.0,0.3641089578710584,0.1255177991782285,0.12515508787762372,0.20017652425488386,0.0,0.0,0.0005154438168886585,0.0,0.015161979402243753,0.04004004004004004,0.0,0.005374526207600398,-3.904000000000001,0.6170557516960733,-0.8053267753650646,0.23487075508397126,3.4448998387016423,-0.03221861211077659,1.3783107272248518,0.22422940621438703,8,-8,0.005360151490797861,0.011673973220794078,0.00018515965730261545,0.0001847326616097395,0.0004621957942871241
3,0.0,0.0,0.4576136157404299,0.1526939143711668,0.15215114297165339,0.20340773819409888,0.0,0.0,0.0010017288512297056,0.0,0.02431425171705235,0.06006006006006006,0.0,0.008428404495023734,-4.723200000000002,0.7017161065077772,-1.0236734975244208,0.27543461189411333,4.1882295620881,-0.08649706575214655,1.6245142915797834,0.25953582601778846,8,-8,0.008403174350230929,0.015742127984676058,0.0003536410975289239,0.00035288301366442584,0.0007770383539806452
4,0.0,0.0,0.5390757518723814,0.17502486589706961,0.17421419876610048,0.20525291162307188,0.0,0.0,0.0017036441863197051,0.0,0.03509576675449998,0.08008008008008008,0.0,0.011928901812965126,-5.378560000000002,0.7448789255323005,-1.226896888930777,0.30120353886531603,4.799873366649175,-0.15705207813326205,1.79829227120929,0.2774830944855107,8,-8,0.011887458325552939,0.019847186217137495,0.0005919808539267766,0.0005908710513517441,0.0011739820783233951
5,0.0,0.0,0.6095106839956594,0.1935611809355738,0.19235708099271337,0.20596490465063477,0.0,0.0,0.0026493637950079684,0.0,0.04728598043441316,0.10010010010010009,0.0,0.015800125431676602,-5.902848000000002,0.7549142364201644,-1.4188485347375985,0.3144268507563672,5.3091998256056705,-0.2413031313795604,1.9143449500185548,0.2792213236379646,8,-8,0.015734599945407206,0.02396648431015019,0.0009074467810419437,0.0009061009491546921,0.001653311764526399
6,0.0,0.0,0.669861622295917,0.20914014765818342,0.207379886820004,0.2057527544086596,0.0,0.0,0.0038630280526145986,0.0,0.0606832128803315,0.12012012012012012,0.0,0.01998292838484027,-6.322278400000002,0.738672025388925,-1.6024157681846924,0.31720708821246824,5.739297302390441,-0.33705541597407596,1.9845233126530948,0.2657740093970924,8,-8,0.019882197681807285,0.028081539398323384,0.0013060504438505227,0.0013048023469355776,0.0022149425524928667
7,0.0,0.0,0.7210042819237629,0.22242841554118886,0.21991369271526087,0.20478923673514735,0.0,0.0,0.005365094022990733,0.0,0.07510329851880676,0.14014014014014015,0.0,0.024431496695664048,-6.657822720000002,0.7017563670769007,-1.7797440227393315,0.31149374357227577,6.108264647147058,-0.44244474271051226,2.0183764771905848,0.23806432928066856,8,-8,0.024280471536112503,0.03217732413302633,0.0017928008136718016,0.0017922957407383382,0.0028584890351533933
8,0.0,0.0,0.7637512231470429,0.23395608246510702,0.23045543500802926,0.20321712356780158,0.0,0.0,0.007172660482625686,0.0,0.09037832298174762,0.16016016016016016,0.0,0.02911061834496619,-6.926258176000001,0.6487495490711003,-1.9524099736789808,0.29908092564399036,6.43024127809379,-0.5558892930173264,2.023593900376504,0.19693597226221948,8,-8,0.02888958023627309,0.03624166660438236,0.002371904909909094,0.0023732026389440023,0.0035833223672410404
9,0.0,0.0,0.798855934105251,0.24414397244573285,0.239395732448065,0.201154361013699,0.0,0.0,0.009299769315902739,0.0,0.10635544166385265,0.18018018018018017,0.0,0.03399349779388085,-7.141006540800001,0.5833954093844523,-2.1215561073558473,0.2816080510543104,6.716228929889506,-0.6760476099983611,2.006362644102436,0.14316955985618485,8,-8,0.03367749488523439,0.040264753824656344,0.0030469262738972752,0.003051611645195072,0.0043886174437341675
10,0.0,0.0,0.8270166717066718,0.25316076578410884,0.24708614538562018,0.1986983542583985,0.0,0.0,0.011757684817862461,0.0,0.12289577509798608,0.20020020020020018,0.0,0.039056713109563025,-7.311043540258579,0.5076723673941711,-2.287195854693848,0.25747258897389713,6.972983143911605,-0.8007130078938055,1.970864645676813,0.0805878073730768,8,-8,0.03861921779294679,0.044238720909824315,0.0038208438650612154,0.003831226864923184,0.005273391861930654
11,0.0,0.0,0.8488800672426382,0.2604234515296127,0.2526648198703608,0.19592951336820486,0.0,0.0,0.014555152346719238,0.0,0.13987337644283884,0.22022022022022023,0.0,0.044265182140155276,-7.416232665830262,0.42264909359680525,-2.4416803247672147,0.23176860424524737,7.178386515129283,-0.9275394968895891,1.9129205096547308,0.006077546455731664,8,-8,0.043672514190354006,0.04815731117718841,0.004695816798463929,0.004715025656535714,0.0062365380854744225
12,0.0,0.0,0.8650445236586745,0.2663090574177365,0.256497195468231,0.192914187467976,0.0,0.0,0.017698637685039487,0.0,0.15717426691601233,0.24024024024024024,0.0,0.04959136328851001,-7.468709799851862,0.3307803531695226,-2.586941811439657,0.2055754566830621,7.342709212103426,-1.056129273091219,1.8372785401462182,-0.07957486893462606,8,-8,0.04880245809971863,0.052015594926547934,0.005673332962925095,0.005705407118383743,0.007276849984005381
13,0.0,0.0,0.8760634020569288,0.2711228202650985,0.2588790268673698,0.1897070927885805,0.0,0.0,0.021192548384182504,0.0,0.1746955349571509,0.2602602602602603,0.0,0.05501381969381198,-7.478394634167932,0.23407062356836306,-2.724525287966809,0.1798596076140062,7.474167369682741,-1.186140481268077,1.7478004643376353,-0.17563234312881493,8,-8,0.053980038637066026,0.05580973678231954,0.006754330569639543,0.006804311184124968,0.008393044719651771
14,0.0,0.0,0.8824480163926981,0.27511191380667793,0.2600502918411337,0.18635332188238912,0.0,0.0,0.0250394382898826,0.0,0.19234449528500486,0.2802802802802803,0.0,0.06051605796994554,-7.45341352393835,0.13415379044976572,-2.855668862327889,0.1554781319696259,7.579333895746193,-1.3172793223478556,1.6476281416566523,-0.2813985037774689,8,-8,0.0591810444738887,0.05953680321996732,0.007939297881628676,0.008013314156997298,0.009583780784051118
15,0.0,0.0,0.8846704457208145,0.2784764854120155,0.2602063125795981,0.182890006247874,0.0,0.0,0.029240196373871024,0.0,0.21003790419942114,0.3003003003003003,0.0,0.06608558767818584,-7.400439316243601,0.032358440672236144,-2.981367258530462,0.1331832180885808,7.663467116596954,-1.4492928839574324,1.5393184344185773,-0.39621101844193474,8,-8,0.06438517072548067,0.0631946033449248,0.009228355316738799,0.009333705376384758,0.010847672850949614
16,0.0,0.0,0.8831661743137637,0.28137853661052004,0.2595066477335762,0.1793476921441779,0.0,0.0,0.03379422092758495,0.0,0.22770122768569642,0.3203203203203203,0.0,0.07171315841039624,-7.32496465526734,-0.07023859366081953,-3.102421904935806,0.11362735321925888,7.730773693277564,-1.5819627355590764,1.424952381455285,-0.5194363912294819,8,-8,0.06957530368015219,0.06678155718780836,0.010621323275812763,0.010766548791955806,0.01218330399470578
17,0.0,0.0,0.8783365694307278,0.2839490754276681,0.25808220118810826,0.1757514790654529,0.0,0.0,0.03869958010907117,0.0,0.24526795907431098,0.34034034034034033,0.0,0.07739213991894961,-7.231521971800879,-0.17276828138192613,-3.2194804597062836,0.09736895526219014,7.784618954622051,-1.7150992858082064,1.3062236243634482,-0.6504659380833617,8,-8,0.07473694770391436,0.07029658676911742,0.01211777837769453,0.012312732480068185,0.013589235730088129
18,0.0,0.0,0.8705512060003119,0.2862938830224235,0.25604090447816574,0.1721219618121662,0.0,0.0,0.043953159772957516,0.0,0.2626789831943172,0.36036036036036034,0.0,0.08311801757939807,-7.123860729225752,-0.2745332719383985,-3.333068008900805,0.08487826224287875,7.827695163697641,-1.8485368710670431,1.1845100764206768,-0.7887126967147671,8,-8,0.07985776579347767,0.07373902600536074,0.01371710024834028,0.013973008540130546,0.015064016250195343
19,0.0,0.0,0.8601500469883421,0.2884981687299936,0.2534722584422906,0.16847601003567872,0.0,0.0,0.0495507994556392,0.0,0.27988198413408405,0.38038038038038036,0.0,0.08888798095399794,-7.005090389318788,-0.3749781782972612,-3.4436117021870194,0.07654333243096723,7.8621561309581125,-1.9821295263669956,1.0609320514903484,-0.9336090740702918,8,-8,0.08492721096232349,0.07710854620607431,0.01541851058459812,0.015748025327555922,0.01660618717431683
20,0.0,0.0,0.8474454877547806,0.2906303329212107,0.2504509626299926,0.16482741328938075,0.0,0.0,0.055487417333422794,0.0,0.29683089388917966,0.40040040040040037,0.0,0.09470058761242216,-6.877795873851884,-0.4736650979996887,-3.551460218903525,0.07267604162250452,7.88972490476649,-2.1157473803730102,0.9363994478566279,-1.0846050725371108,8,-8,0.08993623021492334,0.08040509447186192,0.0172211058721997,0.017638353592403188,0.01821428906375407
21,0.0,0.0,0.832724272259396,0.2927450133461637,0.24703981529461458,0.16118741478445536,0.0,0.0,0.061757124920110144,0.0,0.3134853793343676,0.42042042042042044,0.0,0.10055548787934543,-6.7441309477556,-0.5702534228034065,-3.6568991628897054,0.0735179912778241,7.911779923813193,-2.249273611709145,0.8116500805431021,-1.2411669673354169,8,-8,0.09487702652081563,0.08362884276755103,0.0191238848648167,0.019644507780617375,0.01988686591910509
22,0.0,0.0,0.8162492885533763,0.294885555640903,0.24329203024089513,0.15756515304710997,0.0,0.0,0.06835333222221884,0.0,0.3298103651054351,0.44044044044044045,0.0,0.10645319899216349,-6.6058938691643725,-0.6644831625635753,-3.7601632519109205,0.07924626310973304,7.9294239390505545,-2.3826019036060035,0.6872808516634471,-1.402776332995915,8,-8,0.09974286712563353,0.08678014582849324,0.021125771712917827,0.021766963503275095,0.021622468835674955
23,0.0,0.0,0.798261250592575,0.29708602068753626,0.23925308753533506,0.1539680273630209,0.0,0.0,0.07526884402456457,0.0,0.3457755901172866,0.46046046046046046,0.0,0.11239491940591421,-6.464588787026933,-0.7561611515092834,-3.8614459837931334,0.08997897329389426,7.943539151240444,-2.515634335938679,0.5637731227428056,-1.5689293375074036,8,-8,0.10452792887634023,0.08985950637575366,0.02322563545669437,0.024006171976586242,0.023419658963190027
24,0.0,0.0,0.7789802730266279,0.29937281912696884,0.23496221167072914,0.1504020001547418,0.0,0.0,0.08249594793612096,0.0,0.36135519557781914,0.4804804804804805,0.0,0.11838237578845359,-6.321475674999835,-0.8451496210304686,-3.960907316351856,0.10578059350711788,7.954831320992353,-2.6482796574001455,0.44151339046022986,-1.7391362394996364,8,-8,0.10922717310975481,0.09286754637884849,0.025422306457810566,0.026362572072071294,0.025277009890766998
25,0.0,0.0,0.758607345255842,0.3017660454082421,0.23045355203759058,0.14687184717042928,0.0,0.0,0.09002649478577968,0.0,0.37652734248293596,0.5005005005005005,0.0,0.12441769669661844,-6.177611036525157,-0.9313567174892543,-4.0586797837743305,0.12666701713438533,7.963865056793882,-2.780451885125526,0.32081015560717363,-1.9129210374031107,8,-8,0.11383624415050662,0.09580498332225708,0.027714590233243325,0.0288366004846652,0.02719310955721214
26,0.0,0.0,0.7373257107036802,0.3042805694220976,0.2257571255611132,0.14338136448592345,0.0,0.0,0.09785197191971987,0.0,0.39127385669700954,0.5205205205205206,0.0,0.1305033080850604,-6.033881172709275,-1.0147286204563895,-4.154873381886376,0.15261035775347098,7.971092045435107,-2.912069184071478,0.2019077043465931,-2.0898212304793025,8,-8,0.11835138666172888,0.09867261061197555,0.030101279065462377,0.03142870042033901,0.029166561769451652
27,0.0,0.0,0.715302156926023,0.30692693229205087,0.22089956936547242,0.13993353976953593,0.0,0.0,0.10596356991643047,0.0,0.40557989983553,0.5405405405405406,0.0,0.1366418467309014,-5.891029449773901,-1.0952429794290923,-4.249579483631985,0.18354347384565095,7.976873636348085,-3.0430529835340203,0.08499738313384808,-2.2693876604198344,8,-8,0.12276937804903833,0.10147128140736626,0.0325811616922286,0.03413932911923796,0.031195987397598976
28,0.0,0.0,0.6926882218683521,0.3097120837106581,0.2159047417294234,0.1365306939740192,0.0,0.0,0.11435224320188841,0.0,0.419433664272897,0.5605605605605606,0.0,0.14283608840511458,-5.74967871876804,-1.1729034381730568,-4.342873990096207,0.21936421895388092,7.981498909078468,-3.173327293138415,-0.02977316248129147,-2.4511844092643096,8,-8,0.1270874728836268,0.10420189528684665,0.035153031322796784,0.036968964461342874,0.03328002530333591
29,0.0,0.0,0.6696213212878336,0.3126399908535232,0.21079420191940845,0.1331745985569315,0.0,0.0,0.12300876501586148,0.0,0.4328260906986537,0.5805805805805806,0.0,0.14908888822218505,-5.610349812768597,-1.2477350575087351,-4.434819878329455,0.25993942051445496,7.985199127262774,-3.302818185316836,-0.14229240466962223,-2.634788735008632,8,-8,0.13130335692201495,0.10686538725798528,0.03781569218244097,0.039918110846086395,0.03541733304849561
30,0.0,0.0,0.6462258020782079,0.31571214301252365,0.20558759334535445,0.12986657245074248,0.0,0.0,0.13192377715066583,0.0,0.4457506067402178,0.6006006006006006,0.0,0.15540313108243553,-5.47347686464483,-1.3197804813836487,-4.5254692725674035,0.3051085935701492,7.98815930181022,-3.431453415621857,-0.25247869769796594,-2.8197910307355394,8,-8,0.13541510878892205,0.10946271870700013,0.04056796475167674,0.04298730449264056,0.03760658742263562
31,0.0,0.0,0.6226139259707462,0.3189279713698181,0.20030294957310524,0.1266075622759171,0.0,0.0,0.1410878348558585,0.0,0.45820288525963276,0.6206206206206206,0.0,0.1617816905098319,-5.339420042565939,-1.3890967188620933,-4.614865138195385,0.35468739773463165,7.990527441448176,-3.5591621561652533,-0.36027514032640584,-3.005794796616868,8,-8,0.13942116778038416,0.11199486995251846,0.04340868983848452,0.04617711827168268,0.039846484821685985
32,0.0,0.0,0.5988867878335948,0.32228519955123885,0.19495693880030374,0.12339820868769205,0.0,0.0,0.15049144727618458,0.0,0.47018062101630465,0.6406406406406406,0.0,0.1682273945008567,-5.20847618355058,-1.4557524373775936,-4.703042676406495,0.4084708472857068,7.99242195315854,-3.6858748210097048,-0.4656453339727106,-3.1924166168936665,8,-8,0.14332030655639022,0.11446283412627231,0.04633673159974795,0.04948816615069065,0.042135741504211434
33,0.0,0.0,0.5751351725539648,0.32578013756444724,0.18956505926281464,0.12023890124866006,0.0,0.0,0.16012511376553226,0.0,0.48168332446738393,0.6606606606606606,0.0,0.17474299725214565,-5.0808877116977,-1.5198256811715078,-4.790030480706281,0.46623628525511673,7.993937562526832,-3.811522965482347,-0.5685698726103627,-3.379286136084249,8,-8,0.1471116077416465,0.11686761215124551,0.049350979610807685,0.052921107311884735,0.04447309374723635
34,0.0,0.0,0.5514403542622319,0.3294079292940228,0.1841417955290189,0.1171298238066769,0.0,0.0,0.16997935639658485,0.0,0.49271213155262855,0.6806806806806807,0.0,0.18133115583802611,-4.956850152664679,-1.5814019440470979,-4.875851503242873,0.5277461329668096,7.995150050021465,-3.9360392441427297,-0.6690434312735865,-3.5660460303235952,8,-8,0.15079444365222688,0.11921020862737905,0.05245035006852001,0.056476649983747323,0.04685729791978393
